,in domain,ood,text,domain,dataset,partition
0,imdb,sst2,"Alistair Simms inspired portrayal of Miss Fritton transcends drag. It is one of the great comedy characters in film. Equally wonderful is Joyce Grenfell's character - Ruby Gates.<br /><br />This is a movie you should curl up on the sofa with on a wet Sunday's afternoon and be transported to a time long ago when terrifying, rampaging school girls only gained our respect - not our ire! I hear that a remake is in the offing with Rupert Everett as Miss Fritton? He will have a hard job competing with the master - or should that be mistress? - Alistair Simms.<br /><br />Go and rent it - it beats so much of what today goes for comedy.",id,imdb,common
1,imdb,sst2,"Looking backwards to that year 2002 when ""Furia"" was made, one can easily recognize the heralding sings of today's New Generation in Romania.<br /><br />The main qualities of ""Furia"" stand in a very solid script, with a substantial dramatic core and a really professional developing, plus a cast of excellent actors. All four leading roles are admirably performed, both with depth and casualness: Dragos Bucur and Andy Vasluianu confirmed, since then, being two of our best performers today, Dorina Chiriac follows them closely, and Adrian Tuli, a non-professional (in real life, a graveyard manager!) cast as Gabonu, was a genuine revelation! <br /><br />Further, Radu Muntean's directing is skilled and expressive, creating in a very compelling style that feeling of ""a fateful night"" and inescapable destiny. One can easily pass over the few awkward and even failed moments, since time proved them to be only the uncertainties inherent to a debut, never repeated in his subsequent movies: ""Hârtia va fi albasträ"" and ""Boogie"".",id,imdb,common
2,imdb,sst2,"I agree with the Aussie's comments for the most part. However, there id seem to be a fairly decent plot, if unoriginal. Christina (Kelli McCarty) inherits a rural property that she intends to open a mountain lodge. She gets reacquainted with Chip (Bobby Johnston) whom she had known when she was growing up in there. The plot thickens when James (Paul Logan) arrives with his new stripper friend, Shene (Devinn Lane) because Christina had been James' stripper friend in years gone by, and the implication is that James had done her wrong somehow. To add interest to the movie Sophia Linn (Monique Parent) a romance novelist shows up as a guest at the lodge, as do Eric (Sebastien Guy) and Linda (Flower), pair of lawyers from the city. James sicks the local building codes inspector on Christina's business as one of his dirty tricks to shut her down. So the question is, ""How far will James go to sabotage the lodge and will he succeed?""<br /><br />Watch for Devinn Lane here and in ""Beauty Betrayed."" She seems to be making a transition from the hard core business to the ""R"" world. Another notable is Samantha McConnell, playing the role of ""Bait,"" clearly the most outrageous character name in the movies!",id,imdb,common
3,imdb,sst2,I love watching steven seagal movies not because of the action of the great plot holes but just because it makes me laugh<br /><br />oh it makes me laugh so hard this movie totally got no point and is ridiculous compared to this movie Pearl harbor rocks!!! and Ben affleck need no acting school at all just to give a impression how bad it is<br /><br />first off all there so many goofs and bad acting its just getting worse like when steven is try to get out of jail a chopper lands at first the security notice and they led them land when they fly away all of the sudden a guard start shooting<br /><br />or when he killed that guy in the car he and treach both walk away you can't see no oil on the ground behind him steven notice that there is oil without even watching treach trows a lighter and the car blows up<br /><br />and there are plenty of more goofs Steven uses his basic action when someone is pointing a gun at him he grabs it and shoot him totally bullshit!!! like some gangster would let that ever happen.<br /><br />the acting is also very worse at the fight scene in the jail outdoor place you can see steven clearly wait to come in action just rewind it a couple of time and you notice the bad acting<br /><br />its just makes me laugh i hope one day it comes to the cinema's here in Holland then i'll go there with as many friends as possible just to laugh my self to death,id,imdb,common
4,imdb,sst2,Well...I like this movie first of all because it's very well thought of... and well..because the um...director and others chose an extremely great actor to play Mike....and also my last reason because ( my opinion) Elijah Wood is so so hot!!!,id,imdb,common
5,imdb,sst2,"One of the worst theatrical movies of the year, if not all time. Anthony Hopkins belittles himself by even appearing in this joke. I can't believe David Mamet and Ridley Scott's name appear on this travesty. The best career move Jody Foster ever made was turning this one down. Julianne Moore was as emotionless throughout as a female Keanu Reeves. Gary Oldman was of course, his brilliant self. He is a crippled victim of Hannibal and the make-up is so good, I didn't know it was Gary until the final credits. but eaten by trained boars??? Give me a break! Rumor has it that he didn't want his name even mentioned in the credits. And frying and feeding his own brain to Ray Liotta...I was laughing at the absurdity, no make that stupidity of this flick at this point. I haven't seen so many people walk out of a movie since Who's That Girl.<br /><br />Pay someone else to go for you if you must, but miss this one AT ALL COST!!!",id,imdb,common
6,imdb,sst2,"EXCUSE ME!!! HellOOOOOOOOOO!!!!!!!!!!! CUBA GOODING,Jr. Should Have Won An Oscar For His Portrayal In This Film!!! He WAS the film! While the film may be lacking in some areas, Cuba was awesome... and for me, this is the best role that he has ever played! The scene in the movie where he finds out that his mother has died made me break down and cry IN THE THEATER!! I guess I could really relate to this film because I saw the same treatment of people just like that at my own school growing up... what a tragedy! Getting to see the ""real"" Radio and coach at the end of the movie was really special too! If you can watch this movie and not be moved to tears, you need a heart check! If you liked ""Simon Birch"" and ""The Mighty"", you'll love ""Radio"" too! I wish they made more movies like this...Radio is the Real Deal!",id,imdb,common
7,imdb,sst2,"Shtrafbat is the story only Russians could tell about the Second World War. The largest front of the whole conflict has been, ironically, the least appearing subject on the silver screen after the war. While the Western Allies war-effort has been pictured in almost every possible detail and manner, the East has been left out or the job has been left to only some old propaganda movies of little else than historical footage value.<br /><br />There is no chance that Shtrafbat could compete with Band of Brothers in every detail but neither you want to look at the screen with examining petty visual effects in mind. That the soldiers are Russians is enough big reason to forgive the less eye-captivating battle scenes and you can concentrate on the story that is the most interesting. So much different was the war in the Eastern front, and the nature of the Russian army, that you might wish people to produce more dramatizations from the other fronts, and of armies.<br /><br />Shtrafbat is no way perfect, but it has some rare specialties that augment the overall rating. It tends to crush myths people have about the Second World War, the true heroes were Russian people and not their leaders who sent them to missions where they could only perish. Another great myth bust is that it presents the enemy, who does not pick up his gun, as an equal human being - an advancement that has been difficult to try in many acclaimed films as well. Shtrafbat shows how the war in the eastern front was a war of survival and how the clash of the -isms grinds people into dust.",id,imdb,common
8,imdb,sst2,"I bought ""Rocketship X-M"" on DVD in a two-pack with ""Destination Moon."" Now I see why the distributors did that: no one who had ever seen this movie would buy it on its own.<br /><br />I cannot fathom what school system turned out the reviewer who claimed that RXM is ""great in its predictions of how space travel would take place..."" Launch straight up, and then do a 90-degree right turn and circle faster and faster until you reach escape velocity... I don't think I recall that from the Apollo program. Never mind that the astronauts should be weightless once they shut off the engines, gravity changes directions every time they pass through the hatch to the engine room. Going to the moon, but ""missed"" it? No problem, it's just a hop-skip-and-a-jump (with a helping hand from divine providence) and you'll be at Mars! And OK, if you want to put life on Mars, given the state of planetary knowledge in 1950, it was a forgivable convention for the sake of the storytelling, but can you make them look at least a LITTLE alien? These Martians looked like extras from the cast of ""10,000 B.C."" I can accept some scientific mistakes, but this wouldn't pass muster with an above-average second-grader.<br /><br />And that's aside from the screaming plot holes: 12 minutes before launch (as you're reminded of constantly by the nagging P.A. voice saying ""X minus so many minutes"") the astronauts are giving a press conference! I guess the time crunch is why Dr. Eckstrom didn't change out of his coat and tie before launching into space. And how handy that, even though they were planning to go to the moon and had pressure suits for that, they brought hiking gear (and rifles!) just in case they ended up at Mars. They're lucky they landed anywhere, since apparently the method they had developed for landing was to have Dr.E look out the window and tell the ""pilot"" (Lloyd Bridges) to tweak down the throttles every now and then. Note to the designers of the XM-2: how about giving the pilot a window seat? <br /><br />Ditto the previous comments on the casual sexism that had eye-candy Dr. Lisa (Osa Massen) doom them all by repeatedly screwing up her fuel calculations, but hey that was the early '50s. She was there to fill her sweater, not a useful function.<br /><br />""Rocketship X-M"" is notable for being one of the first of the first films to say ""ohmigod we're all going to blow ourselves up with these here A-bombs"", but one can note that about it without wasting 77 minutes watching such dreck. By the way, that message might have had a bit more impact had there been some money in the budget for actual sets of the Martian city ruins, rather than just matte paintings.<br /><br />I can appreciate ""good"" bad sci-fi, for the unique way the ""future"" used to look, and for the inherent (if condescending) humor you can find when when we look back on the naivety of audiences 60 years ago, but this film must have been insulting even then. ""Rocketship X-M"" isn't even suitable for an MST3K-style lampooning. Sometimes, bad is just... bad.<br /><br />Anybody want to buy a DVD? Used only once, I swear.",id,imdb,common
9,imdb,sst2,this is the worst movie ive ever seen. And i have seen lots of movies. Me and my friends rented this one a wendsday evening. Man we had lots of fun. This movie is the worst most boring crap ive ever seen. But it makes you laugh! U will lay on the floor rolling around tryin to get some air. You wonder why? Just rent it and check for the keyboard playing girl at that sleazy russian bar. My mother would make a 1000 times better movie about her feedin the cats.,id,imdb,common
