in domain,ood,partition,label,counts,total,ratio
imdb,counterfactual-imdb,common,Negative,11,12,0.9166666666666666
imdb,counterfactual-imdb,common,Positive,1,12,0.08333333333333333
imdb,counterfactual-imdb,msp,Negative,73,110,0.6636363636363637
imdb,counterfactual-imdb,msp,Positive,37,110,0.33636363636363636
imdb,counterfactual-imdb,pps,Negative,54,110,0.4909090909090909
imdb,counterfactual-imdb,pps,Positive,56,110,0.509090909090909
imdb,rte,msp,0,9,14,0.6428571428571429
imdb,rte,msp,1,5,14,0.35714285714285715
imdb,rte,pps,0,9,14,0.6428571428571429
imdb,rte,pps,1,5,14,0.35714285714285715
imdb,snli,common,0,3,11,0.2727272727272727
imdb,snli,common,1,6,11,0.5454545454545454
imdb,snli,common,2,2,11,0.18181818181818182
imdb,snli,msp,-1,9,487,0.018480492813141684
imdb,snli,msp,0,175,487,0.3593429158110883
imdb,snli,msp,1,147,487,0.30184804928131415
imdb,snli,msp,2,156,487,0.3203285420944558
imdb,snli,pps,-1,6,489,0.012269938650306749
imdb,snli,pps,0,209,489,0.4274028629856851
imdb,snli,pps,1,149,489,0.3047034764826176
imdb,snli,pps,2,125,489,0.2556237218813906
imdb,sst2,common,0,2,3,0.6666666666666666
imdb,sst2,common,1,1,3,0.3333333333333333
imdb,sst2,msp,0,17,32,0.53125
imdb,sst2,msp,1,15,32,0.46875
imdb,sst2,pps,0,18,32,0.5625
imdb,sst2,pps,1,14,32,0.4375
sst2,counterfactual-imdb,common,Negative,3,11,0.2727272727272727
sst2,counterfactual-imdb,common,Positive,8,11,0.7272727272727273
sst2,counterfactual-imdb,msp,Negative,10,111,0.09009009009009009
sst2,counterfactual-imdb,msp,Positive,101,111,0.9099099099099099
sst2,counterfactual-imdb,pps,Negative,59,111,0.5315315315315315
sst2,counterfactual-imdb,pps,Positive,52,111,0.46846846846846846
sst2,imdb,common,0,49,119,0.4117647058823529
sst2,imdb,common,1,70,119,0.5882352941176471
sst2,imdb,msp,0,340,880,0.38636363636363635
sst2,imdb,msp,1,540,880,0.6136363636363636
sst2,imdb,pps,0,333,881,0.3779795686719637
sst2,imdb,pps,1,548,881,0.6220204313280363
sst2,rte,common,0,1,1,1.0
sst2,rte,msp,0,5,13,0.38461538461538464
sst2,rte,msp,1,8,13,0.6153846153846154
sst2,rte,pps,0,8,13,0.6153846153846154
sst2,rte,pps,1,5,13,0.38461538461538464
sst2,snli,common,0,12,32,0.375
sst2,snli,common,1,10,32,0.3125
sst2,snli,common,2,10,32,0.3125
sst2,snli,msp,-1,3,468,0.00641025641025641
sst2,snli,msp,0,146,468,0.31196581196581197
sst2,snli,msp,1,176,468,0.37606837606837606
sst2,snli,msp,2,143,468,0.3055555555555556
sst2,snli,pps,-1,6,468,0.01282051282051282
sst2,snli,pps,0,184,468,0.39316239316239315
sst2,snli,pps,1,145,468,0.30982905982905984
sst2,snli,pps,2,133,468,0.2841880341880342
